created_at,humidity,temp_dht,temp_bmp,pressure
2025-01-04 18:29:25+00:00,82.0,31.9,1013.01,930.83
2025-01-04 18:32:06+00:00,82.0,32.3,1012.99,930.82
2025-01-05 15:54:51+00:00,96.0,26.7,1015.71,933.31
2025-01-05 16:09:42+00:00,96.0,26.7,1015.45,933.07
2025-01-05 16:24:42+00:00,83.0,32.3,1015.42,933.05
2025-01-05 16:39:42+00:00,76.0,34.2,1015.29,932.92
2025-01-05 16:54:42+00:00,72.0,35.2,1015.21,932.85
2025-01-05 17:09:42+00:00,71.0,36.3,1015.04,932.69
2025-01-05 17:24:42+00:00,69.0,36.9,1014.82,932.49
2025-01-05 17:39:42+00:00,69.0,36.9,1014.51,932.21
2025-01-05 17:54:42+00:00,60.0,36.9,1014.29,932.0
2025-01-05 18:09:42+00:00,61.0,36.9,1014.04,931.78
2025-01-05 18:24:42+00:00,56.0,37.4,1013.89,931.64
2025-01-05 18:39:42+00:00,54.0,37.4,1013.6,931.37
2025-01-05 18:54:42+00:00,53.0,37.4,1013.34,931.13
2025-01-05 19:09:42+00:00,48.0,38.0,1013.2,931.0
2025-01-05 20:34:25+00:00,61.0,35.2,1013.14,930.95
2025-01-05 20:49:20+00:00,61.0,35.2,1013.23,931.03
2025-01-05 21:04:20+00:00,55.0,36.9,1013.36,931.15
2025-01-05 21:19:20+00:00,54.0,37.4,1013.44,931.22
2025-01-05 21:34:20+00:00,53.0,37.4,1013.56,931.34
2025-01-05 21:49:21+00:00,52.0,37.4,1013.8,931.56
2025-01-05 22:04:20+00:00,55.0,36.9,1013.88,931.63
2025-01-05 22:19:20+00:00,56.0,36.9,1013.86,931.61
2025-01-05 22:34:20+00:00,56.0,36.3,1013.98,931.72
2025-01-05 22:49:20+00:00,55.0,35.6,1014.06,931.8
2025-01-05 23:04:20+00:00,55.0,35.6,1014.21,931.93
2025-01-05 23:19:20+00:00,55.0,35.2,1014.26,931.98
2025-01-05 23:34:20+00:00,59.0,34.7,1014.26,931.97
2025-01-05 23:49:20+00:00,60.0,34.2,1014.52,932.21
2025-01-06 00:04:20+00:00,60.0,34.2,1014.6,932.29
2025-01-06 00:19:20+00:00,61.0,33.8,1014.78,932.46
2025-01-06 00:34:20+00:00,60.0,33.3,1014.87,932.54
2025-01-21 08:25:29+00:00,76.0,29.3,1016.63,934.15
2025-01-21 08:40:21+00:00,76.0,29.3,1016.98,934.48
2025-01-21 08:55:21+00:00,70.0,29.8,1017.33,934.8
2025-01-21 09:10:21+00:00,67.0,30.2,1017.71,935.15
2025-01-21 09:25:21+00:00,67.0,31.3,1017.9,935.32
2025-01-21 09:40:21+00:00,67.0,31.3,1018.16,935.57
2025-01-21 09:55:21+00:00,67.0,31.3,1018.44,935.82
2025-01-21 10:10:21+00:00,67.0,31.3,1018.55,935.92
2025-01-21 10:25:21+00:00,67.0,31.3,1018.78,936.13
2025-01-21 10:40:21+00:00,67.0,31.3,1018.9,936.24
2025-01-21 10:55:21+00:00,67.0,31.3,1019.17,936.49
2025-01-21 11:10:21+00:00,67.0,31.3,1019.22,936.54
2025-01-21 11:25:21+00:00,67.0,31.8,1019.18,936.5
2025-01-21 11:40:21+00:00,67.0,31.8,1019.3,936.61
2025-01-21 11:55:21+00:00,67.0,31.8,1019.4,936.7
2025-01-21 12:10:21+00:00,66.0,31.8,1019.62,936.9
2025-01-21 12:25:21+00:00,66.0,31.8,1019.78,937.05
2025-01-21 12:40:21+00:00,67.0,32.3,1019.73,937.01
2025-01-21 12:55:21+00:00,67.0,32.3,1019.72,937.0
2025-01-21 13:10:21+00:00,67.0,32.3,1019.69,936.97
2025-01-21 13:25:21+00:00,68.0,32.8,1019.65,936.93
2025-01-21 13:40:21+00:00,67.0,32.8,1019.56,936.85
2025-01-21 13:55:21+00:00,67.0,33.3,1019.46,936.75
2025-01-21 14:10:21+00:00,67.0,33.3,1019.35,936.65
2025-01-21 14:25:21+00:00,67.0,33.3,1019.31,936.62
2025-01-21 14:40:21+00:00,66.0,33.8,1019.31,936.62
2025-01-21 14:55:21+00:00,66.0,33.8,1019.28,936.59
2025-01-21 15:10:21+00:00,66.0,33.8,1019.19,936.51
2025-01-21 15:25:21+00:00,67.0,34.2,1019.09,936.42
2025-01-21 15:40:21+00:00,68.0,34.2,1018.88,936.22
2025-01-21 15:55:21+00:00,68.0,34.2,1018.71,936.07
2025-01-21 16:10:22+00:00,68.0,34.7,1018.53,935.9
2025-01-21 16:25:21+00:00,69.0,34.7,1018.43,935.81
2025-01-21 16:55:21+00:00,68.0,35.2,1018.18,935.58
2025-01-21 17:10:20+00:00,66.0,35.2,1018.0,935.41
2025-01-21 17:25:21+00:00,55.0,35.2,1017.91,935.33
2025-01-21 17:40:20+00:00,56.0,35.2,1017.62,935.06
2025-01-21 17:55:21+00:00,55.0,35.6,1017.63,935.07
2025-01-21 18:10:21+00:00,56.0,35.6,1017.43,934.89
2025-01-21 18:25:21+00:00,56.0,35.6,1017.45,934.91
2025-01-21 18:40:21+00:00,55.0,36.3,1017.35,934.82
2025-01-21 18:55:21+00:00,55.0,36.3,1017.29,934.76
2025-01-21 19:10:20+00:00,54.0,36.9,1017.08,934.57
2025-01-21 19:25:20+00:00,56.0,36.9,1017.05,934.55
2025-01-21 19:55:21+00:00,52.0,36.9,1016.99,934.49
2025-01-21 20:10:21+00:00,53.0,37.4,1016.78,934.29
2025-01-21 20:25:20+00:00,50.0,37.4,1016.78,934.29
2025-01-21 20:40:20+00:00,49.0,37.4,1017.11,934.6
2025-01-21 20:55:20+00:00,49.0,37.4,1017.09,934.58
2025-01-21 21:10:20+00:00,48.0,38.0,1017.14,934.63
2025-01-21 21:25:20+00:00,47.0,38.0,1017.22,934.69
2025-01-21 21:40:20+00:00,47.0,38.0,1017.43,934.89
2025-01-21 21:55:21+00:00,47.0,38.0,1017.58,935.03
2025-01-21 22:10:22+00:00,51.0,38.0,1017.7,935.14
2025-01-21 22:25:21+00:00,50.0,38.0,1017.72,935.16
2025-01-21 22:40:20+00:00,51.0,37.4,1017.65,935.1
2025-01-21 22:55:20+00:00,50.0,37.4,1017.74,935.17
2025-01-21 23:10:20+00:00,51.0,36.9,1017.98,935.4
2025-01-21 23:25:20+00:00,51.0,36.9,1018.21,935.61
2025-01-21 23:40:20+00:00,51.0,36.3,1018.35,935.74
2025-01-21 23:55:20+00:00,54.0,36.3,1018.47,935.84
2025-01-22 00:10:20+00:00,55.0,36.9,1018.72,936.08
2025-01-22 00:25:20+00:00,55.0,36.9,1018.95,936.29
2025-01-22 00:40:20+00:00,56.0,36.3,1019.31,936.62
2025-01-22 00:55:21+00:00,57.0,36.3,1019.47,936.77
